,geometry,gkat,gabbj,garea,ltyp,gkode,stroffiziel,strname,gazzi,strname_deinr,esid,gkodn,dplzname,gvol,gbaum,egrid,egaid,lgbkr,dplz4,gexpdat,wbez,strnamk,strsp,dexpdat,wstat,gastw,lparzsx,gbaup,gebnr,ewid,gstat,dplzz,gdekt,dkodn,ganzwhg,doffadr,gbauj,wexpdat,gbez,deinr,gvolnorm,weinr,wstwk,gksce,gvolsce,wmehrg,label,ggdename,lparz,ggdenr,egid,plz_plz6,edid,strindx,whgnr,dkode,gklas
20,POINT (718961.1 88274.8),1020,,96.0,,2718961.189,1,['Via Siegfried Bieber'],,Via Siegfried Bieber 65,10207549,1088274.736,Maroggia,,,CH629557020735,101271371,0,6817,05.09.2021,[''],['Via Siegfried Bieber'],['IT'],05.09.2021,[3004],2.0,,8013.0,473a,['2'],1004,0,TI,1088274.736,1.0,0,,['2021-09-05T00:00:00'],,65,,[''],[3100],905,,[1],Via Siegfried Bieber 65,Maroggia,473,5195,11143447,6817/681700,0,['Bie'],['_68'],2718961.189,1110.0
21,POINT (718857.4 88317.2),1020,,130.0,,2718857.42,1,['Via ai Molini'],,Via ai Molini 15,10128279,1088317.14,Maroggia,,,CH940702954594,101271372,0,6817,05.09.2021,[''],['Via ai Molini'],['IT'],05.09.2021,[3004],2.0,,8013.0,155b,['1'],1004,0,TI,1088317.14,1.0,0,,['2021-09-05T00:00:00'],,15,,[''],[3401],905,,[0],Via ai Molini 15,Maroggia,155,5195,11143448,6817/681700,0,['Mol'],['_555000069'],2718857.42,1110.0
22,POINT (718867.1 88298.8),1020,,102.0,,2718867.188,1,['Via ai Molini'],,Via ai Molini 17,10128279,1088298.741,Maroggia,,,CH170795450261,101271373,0,6817,05.09.2021,[''],['Via ai Molini'],['IT'],05.09.2021,[3004],2.0,,8012.0,158a,['3'],1004,0,TI,1088298.741,1.0,0,,['2021-09-05T00:00:00'],,17,,[''],[3100],905,,[1],Via ai Molini 17,Maroggia,158,5195,11143449,6817/681700,0,['Mol'],['_70a'],2718867.188,1110.0
23,POINT (718828.1 88405.8),1020,,100.0,,2718828.188,1,['Vicolo ai Ronchetti'],,Vicolo ai Ronchetti 3,10139141,1088405.743,Maroggia,,,CH169502074532,101246337,0,6817,05.09.2021,[''],['Vicolo ai Ronchetti'],['IT'],05.09.2021,[3004],2.0,,8015.0,169a,['1'],1004,0,TI,1088405.743,1.0,0,,['2021-09-05T00:00:00'],,3,,[''],[3100],905,,[0],Vicolo ai Ronchetti 3,Maroggia,169,5195,11143451,6817/681700,0,['Ron'],['_555000358'],2718828.188,1110.0
24,POINT (718818.5 88243.7),1020,,93.0,,2718818.54,1,['Viale Baldassarre Longhena'],,Viale Baldassarre Longhena 5,10138436,1088243.64,Maroggia,,,CH229545020785,102174877,0,6817,05.09.2021,"['', '', '']",['Viale B. Longhena'],['IT'],05.09.2021,"[3004, 3004, 3004]",4.0,,8011.0,185a,"['1', '2', '3']",1004,0,TI,1088243.64,3.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,5,,"['', '', '']","[3100, 3101, 3103]",905,,"[0, 0, 0]",Viale Baldassarre Longhena 5,Maroggia,185,5195,11143452,6817/681700,0,['Lon'],"['_555000186', '_555000187', '_555000188']",2718818.54,1122.0
25,POINT (718822.9 88224.5),1040,,262.0,,2718822.92,1,['Viale Baldassarre Longhena'],,Viale Baldassarre Longhena 7,10138436,1088224.45,Maroggia,,,CH240702954541,101246338,0,6817,05.09.2021,"['', '', '', '']",['Viale B. Longhena'],['IT'],05.09.2021,"[3004, 3004, 3004, 3004]",2.0,,8012.0,188a,"['1', '3', '4', '5']",1004,0,TI,1088224.45,1.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,7,,"['', '', '', '']","[3101, 3100, 3100, 3100]",905,,"[1, 0, 0, 0]",Viale Baldassarre Longhena 7,Maroggia,188,5195,11143453,6817/681700,0,['Lon'],"['_555000393', '513', '514', '631']",2718822.92,
26,POINT (718850.4 88160.39999999999),1040,,199.0,,2718850.42,1,['Viale Baldassarre Longhena'],,Viale Baldassarre Longhena 13,10138436,1088160.36,Maroggia,,,CH269502074595,101246339,0,6817,05.09.2021,"['', '', '']",['Viale B. Longhena'],['IT'],05.09.2021,"[3004, 3004, 3004]",3.0,,8011.0,190a,"['1', '2', '3']",1004,0,TI,1088160.36,,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,13,,"['', '', '']","[3100, 3401, 3402]",905,,"[0, 0, 0]",Viale Baldassarre Longhena 13,Maroggia,190,5195,11143454,6817/681700,0,['Lon'],"['_555000072', '_555000189', '_555000491']",2718850.42,1230.0
27,POINT (718771.1 88319.8),1060,,364.0,,2718771.186,1,['Viale Baldassarre Longhena'],,Viale Baldassarre Longhena 24,10138436,1088319.747,Maroggia,,,CH384502079535,101246340,0,6817,05.09.2021,,['Viale B. Longhena'],['IT'],05.09.2021,,3.0,,8012.0,192a,,1004,0,TI,1088319.747,,0,,,lato Cantonale,24,,,,905,,,Viale Baldassarre Longhena 24,Maroggia,192,5195,11143455,6817/681700,0,['Lon'],,2718771.186,1220.0
28,POINT (718792.5 88312.2),1020,,138.0,,2718792.565,1,['Viale Baldassarre Longhena'],,Viale Baldassarre Longhena 28,10138436,1088312.11,Maroggia,,,CH390295450758,101246341,0,6817,05.09.2021,[''],['Viale B. Longhena'],['IT'],05.09.2021,[3004],3.0,,8012.0,193a,['1'],1004,0,TI,1088312.11,1.0,0,,['2021-09-05T00:00:00'],,28,,[''],[3100],905,,[1],Viale Baldassarre Longhena 28,Maroggia,193,5195,11143456,6817/681700,0,['Lon'],['_555000073'],2718792.565,1110.0
29,POINT (718798.2 88301.89999999999),1020,,78.0,,2718798.27,1,['Vicolo Francesco Somaini'],,Vicolo Francesco Somaini 3,10139143,1088301.82,Maroggia,,,CH309507450243,101246342,0,6817,05.09.2021,"['', '']",['Vicolo Francesco Somaini'],['IT'],05.09.2021,"[3004, 3004]",3.0,,8012.0,194a,"['1', '2']",1004,0,TI,1088301.82,2.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00']",,3,,"['', '']","[3101, 3102]",905,,"[0, 0]",Vicolo Francesco Somaini 3,Maroggia,194,5195,11143457,6817/681700,0,['Som'],"['_555000075', '_555000076']",2718798.27,1121.0
