EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11143461;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718795.573;1088276.565;0;101246344;10138436;Viale Baldassarre Longhena;34;IT;6817;0;Maroggia;2718795.573;1088276.565;0;2021-07-19 00:00:00
11143462;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718779.186;1088289.747;0;102183776;10139143;Vicolo Francesco Somaini;4;IT;6817;0;Maroggia;2718779.186;1088289.747;0;2021-07-19 00:00:00
11143463;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718769.186;1088277.747;0;101246345;10139138;Via Tommaso e Giacomo Rodari;12;IT;6817;0;Maroggia;2718769.186;1088277.747;0;2021-07-19 00:00:00
11143464;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718777.186;1088273.747;0;101246346;10139138;Via Tommaso e Giacomo Rodari;10;IT;6817;0;Maroggia;2718777.186;1088273.747;0;2021-07-19 00:00:00
11143465;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718791.57;1088265.69;0;101246347;10138436;Viale Baldassarre Longhena;36;IT;6817;0;Maroggia;2718791.57;1088265.69;0;2021-07-19 00:00:00
11143466;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718778.186;1088264.747;0;101246348;10139138;Via Tommaso e Giacomo Rodari;8;IT;6817;0;Maroggia;2718778.186;1088264.747;0;2021-07-19 00:00:00
11143467;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718757.186;1088274.747;0;101246349;10139138;Via Tommaso e Giacomo Rodari;9;IT;6817;0;Maroggia;2718757.186;1088274.747;0;2021-07-19 00:00:00
11143467;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718757.186;1088274.747;1;101891974;10139138;Via Tommaso e Giacomo Rodari;11;IT;6817;0;Maroggia;2718757.186;1088274.747;0;2021-07-19 00:00:00
11143468;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718741.529;1088272.604;0;101246350;10139138;Via Tommaso e Giacomo Rodari;13;IT;6817;0;Maroggia;2718741.529;1088272.604;0;2021-07-19 00:00:00
11143469;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718738.565;1088265.859;0;101246351;10139138;Via Tommaso e Giacomo Rodari;15;IT;6817;0;Maroggia;2718738.565;1088265.859;0;2021-07-19 00:00:00
11143470;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718741.6;1088250.022;0;101246352;10139138;Via Tommaso e Giacomo Rodari;5;IT;6817;0;Maroggia;2718741.6;1088250.022;0;2021-07-19 00:00:00
11143471;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718713.11;1088288.4;0;101246353;10139138;Via Tommaso e Giacomo Rodari;22;IT;6817;0;Maroggia;2718713.11;1088288.4;0;2021-07-19 00:00:00
11143472;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718727.512;1088288.47;0;101246354;10139138;Via Tommaso e Giacomo Rodari;18;IT;6817;0;Maroggia;2718727.512;1088288.47;0;2021-07-19 00:00:00
11143473;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718729.185;1088284.746;0;101246355;10139138;Via Tommaso e Giacomo Rodari;16;IT;6817;0;Maroggia;2718729.185;1088284.746;0;2021-07-19 00:00:00
