index;geometry;length
18;LINESTRING (718129.4800849224 96472.77519313898, 718132.0555797818 96461.05045955438);12.004272214531479
19;LINESTRING (718132.0555797818 96461.05045955438, 718133.9923521136 96461.45504076392, 718137.0450727155 96461.04741261294, 718139.7990673973 96459.66664092244, 718141.9417416527 96457.45119083964, 718142.6130777927 96455.99656384911, 718195.8081238803 96464.74771303855, 718249.6982684399 96472.0118214408, 718257.6046213924 96472.61047070127, 718296.2 96434);183.63266036380804
20;LINESTRING (717851.2895645109 96458.36606272045, 717875.6 96451.89999999999);25.155660213405135
21;LINESTRING (718003.3661474483 96454.79131500779, 718020.2 96475.2);26.455491203934546
22;LINESTRING (718132.0555797818 96461.05045955438, 718130.9674757888 96460.82916309756, 718128.3253990229 96459.24339426472, 718126.3492149004 96456.88113908083, 718110.2 96465);25.346880683820295
23;LINESTRING (717842.0833239915 96504.80858256864, 717866.6 96519.60000000001);28.633082826217606
24;LINESTRING (718114.8876465661 96559.84078297585, 718123.0388272089 96510.38716811211);50.12087159021095
25;LINESTRING (718123.0388272089 96510.38716811211, 718132.8947554551 96511.92418587825);9.975056150567456
26;LINESTRING (718132.8947554551 96511.92418587825, 718178.44785438 96520.0040132377);46.264116027678405
27;LINESTRING (718178.44785438 96520.0040132377, 718210.295994512 96525.67156825593);32.34849625182183
28;LINESTRING (718210.295994512 96525.67156825593, 718232.7864529209 96529.6783662581, 718238.7266974882 96530.18313476353, 718244.0172645024 96528.64052228309, 718246.7509646162 96523.92376206233, 718248.3039073402 96514.59195278979, 718228.8 96506.8);70.23173301282725
29;LINESTRING (718210.295994512 96525.67156825593, 718208.6624455518 96539.14913217995, 718195.7 96563.7);41.33894690686527
30;LINESTRING (718329.742191596 96610.63192272747, 718315.2 96627);21.894960379378062
31;LINESTRING (717839.7904338011 96609.03614580077, 717835.8585747302 96573.69107068962);35.563096748826865
32;LINESTRING (717835.8585747302 96573.69107068962, 717834.8777392174 96559.95145605803);13.77457979496408
33;LINESTRING (717983.3358276468 96616.90351851113, 717991.4434721799 96548.49135541049);68.89091347910008
34;LINESTRING (718100.9793045996 96643.61740810893, 718113.0211789819 96570.16721841865);74.43075375257958
35;LINESTRING (718113.0211789819 96570.16721841865, 718114.8876465661 96559.84078297585);10.493758630603743
36;LINESTRING (718113.0211789819 96570.16721841865, 718122.2226549035 96571.09108135886);9.247739284243922
37;LINESTRING (718122.2226549035 96571.09108135886, 718242.5088453699 96593.80072817381);122.41117463439586
38;LINESTRING (718242.5088453699 96593.80072817381, 718329.742191596 96610.63192272747);88.84225235717348
39;LINESTRING (718329.742191596 96610.63192272747, 718286.9 96619.60000000001);43.770764109265045
40;LINESTRING (718255.5467040422 96904.2802966782, 718230.573796752 96895.74419587187);26.391497030320362
41;LINESTRING (718303.4280725182 96885.7324275522, 718283.225674493 96879.66843950529);21.0928622287632
42;LINESTRING (718283.225674493 96879.66843950529, 718268.7622614742 96875.6731570327);15.005085744161118
43;LINESTRING (718268.7622614742 96875.6731570327, 718255.5467040422 96904.2802966782);31.51221028322104
44;LINESTRING (717622.9093503118 97091.64676838732, 717601.2 97073);28.618138693055474
45;LINESTRING (717622.9093503118 97091.64676838732, 717679 97068.10000000001);60.8326498183718
46;LINESTRING (718115.7718327367 97053.46598040151, 718211.4978532656 97075.43083296865);98.21367396957567
47;LINESTRING (718211.4978532656 97075.43083296865, 718225.4149445374 97078.81493887863);14.322625537194103
48;LINESTRING (718225.4149445374 97078.81493887863, 718217.4837845445 97100.23105944457);22.83754625455051
49;LINESTRING (718217.4837845445 97100.23105944457, 718205.4169269792 97139.1121769163);40.71056800576114
50;LINESTRING (718205.4169269792 97139.1121769163, 718199.1172277326 97169.05482729328);30.59817841304052
51;LINESTRING (718199.1172277326 97169.05482729328, 718164.2724014709 97163.49575780955);35.2854810187997
52;LINESTRING (718164.2724014709 97163.49575780955, 718155.8096488715 97162.47499517308);8.524091618373419
53;LINESTRING (718155.8096488715 97162.47499517308, 718107.7179627983 97154.52379232089);48.74455760556485
54;LINESTRING (718107.7179627983 97154.52379232089, 718095 97127);30.32005477341435
55;LINESTRING (718107.7179627983 97154.52379232089, 718137.2 97110);53.399986893189165
