index;geometry;EGID;mappale;nome;indirizzo;quartiere;NPA;comune;categoria;classe;epoca_costruzione;superficie;num_piani;coord_e;coord_n;SRE;k_SH;fab_SH;k_DHW;fab_DHW;fab_tot
419;POINT (714689.8 98927.3);191855563;298b;;Via Orti ;Manno;6928;Manno;1060;1110.0;8017.0;43.0;1.0;2714689.847;1098927.198;43.0;76;3268.0;14;602.0;3870.0
420;POINT (714906.5 99583);191855564;348b;Autorimessa;Via Mondadiscio ;Manno;6928;Manno;1060;1242.0;8014.0;53.0;1.0;2714906.589;1099582.929;53.0;0;0.0;0;0.0;0.0
421;POINT (715171.7 98893.60000000001);191855565;441n;Deposito;Via Violino ;Manno;6928;Manno;1060;1252.0;8014.0;309.0;1.0;2715171.789;1098893.529;309.0;0;0.0;0;0.0;0.0
422;POINT (715067.9 99287.39999999999);191855566;386e;Autorimessa;Via Violino ;Manno;6928;Manno;1060;1242.0;8013.0;95.0;1.0;2715067.895;1099287.362;95.0;0;0.0;0;0.0;0.0
423;POINT (714614.2 99057);191855567;1015b;Autorimessa;Streccia di Caminada ;Manno;6928;Manno;1060;1242.0;8022.0;40.0;1.0;2714614.218;1099056.919;40.0;0;0.0;0;0.0;0.0
424;POINT (714765 98939.10000000001);191855568;425b;Autorimessa;Via Orti ;Manno;6928;Manno;1060;1242.0;8016.0;234.0;1.0;2714765.045;1098939.028;234.0;0;0.0;0;0.0;0.0
425;POINT (714828.9 99283.39999999999);191855569;392b;Autorimessa;Via Carà ;Manno;6928;Manno;1060;1242.0;8015.0;38.0;1.0;2714828.978;1099283.308;38.0;0;0.0;0;0.0;0.0
426;POINT (714776.2 99557.5);191855570;313e;Autorimessa;Via Grumo ;Manno;6928;Manno;1060;1242.0;8017.0;53.0;1.0;2714776.259;1099557.432;53.0;0;0.0;0;0.0;0.0
427;POINT (714709.9 97793.2);191855571;518d;Impianto di betonaggio;Via Pianoni ;Manno;6928;Manno;1060;1251.0;8021.0;75.0;1.0;2714709.979;1097793.152;75.0;56;4200.0;1;75.0;4275.0
428;POINT (714757.4 97941.8);191855572;517c;Prefabbricato società cinofila;Via Pianoni ;Manno;6928;Manno;1060;1274.0;8015.0;86.0;1.0;2714757.458;1097941.794;86.0;0;0.0;0;0.0;0.0
429;POINT (714525.5 98062.2);191855573;433u;Locali impianti energetici;Via Cantonale ;Manno;6928;Manno;1060;1274.0;8012.0;181.0;1.0;2714525.548;1098062.195;181.0;0;0.0;0;0.0;0.0
430;POINT (714980.9 98967.8);191855574;430a;Vendita materiali + Deposito;Via Pobiette ;Manno;6928;Manno;1060;1230.0;8017.0;3170.0;1.0;2714980.92;1098967.702;3170.0;73;231410.0;7;22190.0;253600.0
